order_id,order_date,covid_phase,customer_id,state,warehouse_id,product_id,product_category,order_channel,order_quantity,unit_price,discount_pct,marketing_channel,ad_spend_myr,website_traffic_source,sales_revenue,customer_segment,customer_age_group,payment_method,delivery_time_days,delivery_status,shipping_cost_rm,inventory_level_pct,stockout_flag,return_flag,customer_rating
ORD101345,2020-01-11,Pre-MCO,CUST90074,Perak,Klang Valley Hub,GRC-1340,Groceries,Website,7,27.04,21.5,Email,695.21,Referral,928.75,Returning,18-24,Bank Transfer,4.4,On-Time,7.2,69.7,0,0,3.3
ORD101776,2020-01-11,Pre-MCO,CUST90364,Selangor,Sabah/Sarawak Hub,HPC-8775,Health & Personal Care,Website,8,48.75,9.3,Email,408.59,Organic Search,1058.29,Loyal/VIP,35-44,E-Wallet,1.0,On-Time,21.09,86.5,0,0,4.6
ORD101844,2020-01-12,Pre-MCO,CUST90378,Selangor,Johor Hub,FNB-7353,F&B,Website,7,22.45,14.7,Email,376.49,Direct,1055.2,Returning,55+,COD,2.4,On-Time,11.09,26.4,0,0,3.9
ORD102096,2020-01-12,Pre-MCO,CUST90075,Kuala Lumpur,Northern Hub,ELE-9528,Electronics,Mobile App,4,383.77,8.7,Google Ads,1034.18,Paid Search,2758.67,Loyal/VIP,18-24,Bank Transfer,2.2,On-Time,11.34,38.7,0,0,4.5
ORD101984,2020-01-12,Pre-MCO,CUST90294,Kuala Lumpur,Klang Valley Hub,FSH-4628,Fashion,Mobile App,2,51.81,9.5,Organic Search,945.31,Referral,1727.9,Returning,45-54,E-Wallet,4.1,Delayed,7.64,0.0,1,0,4.2
ORD102331,2020-01-12,Pre-MCO,CUST90261,Perak,Klang Valley Hub,FNB-9704,F&B,Mobile App,7,20.35,12.0,Organic Search,471.12,Social Media,735.85,Returning,25-34,E-Wallet,2.9,On-Time,5.98,49.6,0,1,4.5
ORD102279,2020-01-12,Pre-MCO,CUST20739,Selangor,Johor Hub,HPC-9989,Health & Personal Care,Website,5,41.72,10.0,Affiliate,192.11,Direct,367.51,New,18-24,Bank Transfer,3.5,Delayed,9.76,91.1,0,0,5.0
ORD100512,2020-01-12,Pre-MCO,CUST20517,Penang,Northern Hub,FSH-6614,Fashion,Marketplace,4,54.05,1.1,Email,342.94,Paid Search,513.53,New,18-24,Card,3.9,On-Time,8.86,43.6,0,0,4.6
ORD101399,2020-01-12,Pre-MCO,CUST21565,Negeri Sembilan,Johor Hub,SPO-4792,Sports & Outdoor,Website,1,121.21,8.6,Facebook Ads,479.82,Social Media,457.49,New,55+,Card,1.1,On-Time,8.69,33.4,0,0,5.0
ORD100687,2020-01-12,Pre-MCO,CUST20539,Sabah,Klang Valley Hub,GRC-8279,Groceries,Marketplace,5,26.46,5.0,Google Ads,311.13,Referral,372.45,New,25-34,COD,6.2,Delayed,7.31,30.6,0,0,4.4
ORD102676,2020-01-12,Pre-MCO,CUST90236,Kuala Lumpur,Penang Hub,HPC-5326,Health & Personal Care,Website,7,38.8,15.0,Direct,256.18,Organic Search,706.5,Loyal/VIP,35-44,COD,1.8,On-Time,7.75,76.5,0,0,4.4
ORD102375,2020-01-12,Pre-MCO,CUST90009,Johor,Penang Hub,ELE-6545,Electronics,Mobile App,6,337.28,4.2,Facebook Ads,680.96,Email Campaign,3383.54,Returning,25-34,Card,1.0,On-Time,7.96,68.2,0,0,4.8
ORD100993,2020-01-13,Pre-MCO,CUST21474,Kuala Lumpur,Johor Hub,FSH-3708,Fashion,Mobile App,8,66.01,4.7,Email,180.65,Referral,564.72,New,18-24,Card,1.7,On-Time,9.52,67.8,0,0,4.9
ORD102668,2020-01-13,Pre-MCO,CUST90074,Kedah,Johor Hub,HPC-9928,Health & Personal Care,Website,8,44.63,11.4,Email,702.4,Direct,1638.86,Returning,35-44,Bank Transfer,4.4,On-Time,9.28,14.0,0,0,4.0
ORD102451,2020-01-13,Pre-MCO,CUST90121,Penang,Northern Hub,HNL-8181,Home & Living,Website,3,99.52,11.1,Facebook Ads,691.75,Referral,1594.81,Loyal/VIP,35-44,E-Wallet,2.6,On-Time,11.99,48.5,0,0,4.4
ORD102678,2020-01-14,Pre-MCO,CUST21068,Johor,Klang Valley Hub,FSH-3037,Fashion,Mobile App,5,63.24,19.0,Organic Search,87.04,Direct,313.76,New,25-34,COD,3.7,On-Time,6.72,66.1,0,0,5.0
ORD101921,2020-01-14,Pre-MCO,CUST90071,Selangor,Penang Hub,HNL-6786,Home & Living,Marketplace,8,80.96,19.6,Google Ads,432.59,Referral,813.88,Returning,45-54,Bank Transfer,1.0,On-Time,9.33,65.8,0,0,4.6
ORD101843,2020-01-14,Pre-MCO,CUST21883,Penang,Klang Valley Hub,HNL-1735,Home & Living,Website,9,79.17,19.6,Facebook Ads,886.17,Organic Search,2187.8,New,25-34,COD,2.3,On-Time,6.05,41.2,0,0,4.4
ORD100053,2020-01-14,Pre-MCO,CUST21460,Johor,Penang Hub,ELE-4078,Electronics,Mobile App,6,370.04,16.4,Influencer,609.44,Paid Search,2556.63,New,35-44,Bank Transfer,2.4,On-Time,7.4,42.7,0,0,4.2
ORD100138,2020-01-15,Pre-MCO,CUST90363,Selangor,Klang Valley Hub,FSH-2738,Fashion,Marketplace,8,66.14,25.7,Google Ads,1452.13,Paid Search,3027.79,Loyal/VIP,45-54,Bank Transfer,3.8,On-Time,8.4,58.2,0,0,4.7
ORD101083,2020-01-15,Pre-MCO,CUST90148,Selangor,Penang Hub,GRC-1720,Groceries,Mobile App,3,21.38,6.5,Organic Search,396.37,Organic Search,666.96,Loyal/VIP,45-54,Card,1.2,On-Time,7.33,60.8,0,0,5.0
ORD101059,2020-01-15,Pre-MCO,CUST21579,Penang,Penang Hub,FSH-4257,Fashion,Website,1,62.49,4.0,Organic Search,667.44,Direct,1358.2,New,35-44,E-Wallet,2.2,On-Time,9.03,47.1,0,0,4.3
ORD100889,2020-01-15,Pre-MCO,CUST21819,Melaka,Penang Hub,FSH-6375,Fashion,Mobile App,6,68.9,10.3,Facebook Ads,509.74,Social Media,1528.4,New,45-54,Card,2.6,On-Time,9.49,48.3,0,0,4.9
ORD100097,2020-01-15,Pre-MCO,CUST21638,Penang,Penang Hub,GRC-5165,Groceries,Mobile App,7,21.74,23.0,Email,1523.29,Direct,1757.16,New,55+,E-Wallet,2.9,On-Time,10.32,37.8,0,0,4.6
ORD101461,2020-01-16,Pre-MCO,CUST90317,Selangor,Sabah/Sarawak Hub,HPC-9785,Health & Personal Care,Website,5,50.16,10.9,Organic Search,427.5,Direct,975.9,Returning,25-34,E-Wallet,3.1,Delayed,20.19,49.8,0,0,4.6
ORD101421,2020-01-16,Pre-MCO,CUST21299,Selangor,Penang Hub,SPO-3627,Sports & Outdoor,Mobile App,7,132.17,12.8,Influencer,1273.35,Email Campaign,2353.22,New,18-24,E-Wallet,1.0,On-Time,9.38,72.5,0,0,5.0
ORD102973,2020-01-16,Pre-MCO,CUST20719,Perak,Penang Hub,FNB-9376,F&B,Mobile App,2,17.11,3.5,Facebook Ads,369.73,Direct,682.14,New,18-24,E-Wallet,1.6,On-Time,10.85,93.7,0,0,4.9
ORD100490,2020-01-16,Pre-MCO,CUST90232,Selangor,Klang Valley Hub,GRC-1913,Groceries,Mobile App,2,22.82,8.7,Facebook Ads,261.44,Organic Search,381.46,Loyal/VIP,25-34,Bank Transfer,1.0,On-Time,5.15,55.9,0,0,5.0
ORD103134,2020-01-16,Pre-MCO,CUST90024,Selangor,Klang Valley Hub,GRC-3144,Groceries,Mobile App,2,26.92,7.8,Influencer,655.16,Paid Search,863.91,Returning,25-34,Bank Transfer,2.4,On-Time,7.3,57.6,0,0,4.6
ORD102485,2020-01-17,Pre-MCO,CUST20270,Sabah,Klang Valley Hub,HPC-5926,Health & Personal Care,Marketplace,5,49.31,20.4,Organic Search,474.27,Paid Search,977.58,New,25-34,Bank Transfer,2.9,On-Time,7.09,61.9,0,0,3.9
ORD101314,2020-01-17,Pre-MCO,CUST90250,Johor,Klang Valley Hub,ELE-3001,Electronics,Marketplace,5,402.03,7.5,Facebook Ads,95.35,Social Media,1654.63,Returning,25-34,COD,5.3,Delayed,7.37,62.3,0,0,4.7
ORD101667,2020-01-17,Pre-MCO,CUST20455,Penang,Johor Hub,ELE-5715,Electronics,Mobile App,5,318.68,6.7,Influencer,389.28,Direct,1971.01,New,55+,Bank Transfer,1.3,On-Time,7.85,57.4,0,0,4.8
ORD101375,2020-01-17,Pre-MCO,CUST21730,Selangor,Klang Valley Hub,HNL-6764,Home & Living,Mobile App,5,96.8,4.5,Facebook Ads,22.47,Direct,377.09,New,18-24,Bank Transfer,1.0,On-Time,7.25,29.8,0,0,4.7
ORD101395,2020-01-17,Pre-MCO,CUST20040,Penang,Sabah/Sarawak Hub,FSH-3998,Fashion,Website,6,62.96,10.3,Direct,376.24,Social Media,667.75,New,35-44,Bank Transfer,3.9,On-Time,23.88,53.8,0,1,4.1
ORD100340,2020-01-17,Pre-MCO,CUST21740,Perak,Johor Hub,SPO-5382,Sports & Outdoor,Mobile App,4,103.98,10.8,Google Ads,925.05,Paid Search,1631.03,New,45-54,E-Wallet,4.3,On-Time,9.94,42.6,0,0,4.7
ORD101642,2020-01-17,Pre-MCO,CUST20422,Sarawak,Klang Valley Hub,GRC-7678,Groceries,Website,1,27.01,4.2,Google Ads,386.89,Paid Search,792.07,New,18-24,Bank Transfer,3.6,On-Time,6.06,23.1,0,1,4.8
ORD102521,2020-01-17,Pre-MCO,CUST90019,Sabah,Penang Hub,HNL-6357,Home & Living,Website,2,78.51,8.7,Facebook Ads,148.88,Paid Search,230.08,Loyal/VIP,45-54,COD,4.3,On-Time,8.44,100.0,0,0,3.7
ORD100365,2020-01-18,Pre-MCO,CUST90347,Johor,Klang Valley Hub,HNL-3654,Home & Living,Marketplace,3,98.38,11.4,Influencer,228.24,Social Media,643.17,Loyal/VIP,55+,COD,1.0,On-Time,5.23,34.8,0,0,4.9
ORD101204,2020-01-18,Pre-MCO,CUST20109,Johor,Northern Hub,GRC-3943,Groceries,Marketplace,7,27.19,10.4,Influencer,452.53,Direct,858.6,New,55+,Card,4.0,On-Time,11.5,65.4,0,0,4.1
ORD103249,2020-01-19,Pre-MCO,CUST20098,Kuala Lumpur,Johor Hub,GRC-8921,Groceries,Website,5,23.86,4.6,Organic Search,1451.64,Social Media,2276.53,New,18-24,COD,2.3,On-Time,8.25,58.0,0,1,4.3
ORD100559,2020-01-19,Pre-MCO,CUST21067,Negeri Sembilan,Klang Valley Hub,BNK-9772,Baby & Kids,Mobile App,5,58.82,11.6,Affiliate,125.9,Paid Search,357.68,New,35-44,Bank Transfer,1.0,On-Time,7.83,57.7,0,0,4.5
ORD101203,2020-01-19,Pre-MCO,CUST90375,Kuala Lumpur,Klang Valley Hub,ELE-9378,Electronics,Marketplace,4,317.38,7.9,Influencer,367.22,Organic Search,2000.56,Loyal/VIP,25-34,Card,3.4,Delayed,6.3,71.8,0,0,4.3
ORD102733,2020-01-19,Pre-MCO,CUST90390,Kuala Lumpur,Penang Hub,ELE-1103,Electronics,Mobile App,6,312.41,8.6,Organic Search,1184.52,Paid Search,3240.7,Returning,55+,COD,5.0,On-Time,10.02,45.2,0,0,3.4
ORD102060,2020-01-19,Pre-MCO,CUST21163,Sabah,Northern Hub,ELE-9892,Electronics,Mobile App,4,395.65,20.3,Email,252.24,Social Media,815.53,New,55+,Bank Transfer,4.1,On-Time,9.03,88.0,0,0,4.2
ORD102638,2020-01-19,Pre-MCO,CUST20045,Selangor,Penang Hub,FNB-2758,F&B,Website,5,17.76,23.9,Influencer,453.3,Paid Search,791.78,New,25-34,E-Wallet,2.1,On-Time,10.18,62.5,0,0,4.4
ORD100390,2020-01-20,Pre-MCO,CUST90312,Selangor,Penang Hub,ELE-8865,Electronics,Mobile App,8,300.5,9.7,Affiliate,823.25,Organic Search,2783.21,Returning,25-34,Card,3.7,Delayed,8.59,56.4,0,0,4.0
ORD103476,2020-01-20,Pre-MCO,CUST90409,Selangor,Johor Hub,GRC-1006,Groceries,Website,3,22.13,1.3,Email,33.21,Email Campaign,126.13,Loyal/VIP,55+,Bank Transfer,1.0,On-Time,7.99,62.5,0,0,4.8
ORD101973,2020-01-20,Pre-MCO,CUST90412,Kuala Lumpur,Klang Valley Hub,FNB-8895,F&B,Mobile App,8,22.98,6.2,Organic Search,24.75,Direct,226.21,Returning,35-44,E-Wallet,1.0,On-Time,6.33,50.5,0,0,5.0
ORD102703,2020-01-20,Pre-MCO,CUST90216,Selangor,Sabah/Sarawak Hub,HNL-6250,Home & Living,Marketplace,8,77.53,21.3,Organic Search,232.44,Email Campaign,775.9,Loyal/VIP,45-54,Card,3.4,On-Time,18.08,91.3,0,0,4.4
ORD102683,2020-01-20,Pre-MCO,CUST20498,Kedah,Northern Hub,FSH-7935,Fashion,Marketplace,2,62.6,11.4,Facebook Ads,327.68,Paid Search,572.17,New,25-34,Bank Transfer,4.4,On-Time,11.19,53.3,0,0,4.5
ORD101541,2020-01-20,Pre-MCO,CUST90398,Perak,Northern Hub,BNK-5715,Baby & Kids,Website,7,51.78,18.4,Organic Search,71.9,Paid Search,227.88,Returning,45-54,E-Wallet,4.6,On-Time,12.37,78.2,0,0,3.9
ORD102693,2020-01-20,Pre-MCO,CUST90069,Negeri Sembilan,Klang Valley Hub,GRC-6380,Groceries,Mobile App,2,28.74,16.1,Affiliate,226.13,Social Media,404.15,Returning,45-54,E-Wallet,2.1,On-Time,8.25,55.6,0,0,4.4
ORD102843,2020-01-21,Pre-MCO,CUST90281,Johor,Klang Valley Hub,BNK-6600,Baby & Kids,Website,3,52.7,2.5,Facebook Ads,281.95,Social Media,692.66,Returning,35-44,E-Wallet,1.3,Delayed,5.4,95.6,0,0,4.0
ORD102107,2020-01-21,Pre-MCO,CUST21422,Selangor,Penang Hub,BNK-8413,Baby & Kids,Mobile App,5,48.14,24.5,Influencer,653.02,Direct,1683.66,New,18-24,Bank Transfer,6.4,Delayed,10.36,65.3,0,0,3.0
ORD100006,2020-01-21,Pre-MCO,CUST90028,Selangor,Johor Hub,GRC-8945,Groceries,Marketplace,3,26.28,1.9,Email,512.96,Organic Search,947.69,Loyal/VIP,35-44,COD,1.5,On-Time,9.72,83.3,0,0,4.7
ORD102479,2020-01-21,Pre-MCO,CUST90404,Selangor,Klang Valley Hub,FNB-7619,F&B,Website,3,18.39,18.9,Google Ads,819.75,Social Media,2099.79,Returning,35-44,Card,1.0,On-Time,6.49,39.7,0,0,5.0
